alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.106,0.0,0.0,2563.422,-203.0391,794.54,0.9750000238418579,4207.2861328125,,,,
0.107,0.0,0.0,5107.123,-493.18143,931.51984,0.9750000238418579,4205.43408203125,,,,
0.108,0.0,0.0,6274.933,-482.84866,3880.2,0.9750000238418579,4198.39501953125,,,,
0.109,0.0,0.0,8402.579,111.24216,844.9001,0.9750000238418579,4104.89208984375,,,,
0.11,0.0,0.0,4412.3726,422.30734,633.77997,0.9750000238418579,3963.14697265625,,,,
0.111,0.0,0.0,2979.8806,296.23044,2120.33,0.9750000238418579,3896.44580078125,,,,
0.112,0.0,0.0,5048.481,216.77072,1603.13,0.9750000238418579,3936.19775390625,,,,
0.113,0.0,0.0,4063.1545,209.77902,371.07004,0.9750000238418579,3905.151123046875,,,,
0.114,0.0,0.0,2684.242,202.21603,440.57004,0.9750000238418579,3909.518798828125,,,,
0.115,0.0,0.0,4115.1724,-625.36847,274.81003,0.9750000238418579,3928.82763671875,,,,
0.116,0.0,0.0,3251.8657,-346.3914,1072.4401,0.9750000238418579,3883.591796875,,,,
0.117,0.0,0.0,4136.912,-182.29666,641.63983,0.9750000238418579,3862.442138671875,,,,
0.118,0.0,0.0,3484.9756,-646.9368,296.53,0.9750000238418579,3871.55859375,,,,
0.119,0.0,0.0,2249.0354,24.215546,1083.25,0.9750000238418579,3864.428466796875,,,,
0.12,0.0,0.0,3134.2126,-436.9407,2815.18,0.9750000238418579,3887.081298828125,,,,
0.121,0.0,0.0,5299.6733,549.591,3579.73,0.9750000238418579,3872.221923828125,,,,
0.122,0.0,0.0,8361.371,841.72577,1999.9299,0.9750000238418579,3825.28369140625,,,,
0.123,0.0,0.0,4290.031,232.43307,851.7399,0.9750000238418579,3698.883544921875,,,,
0.124,0.0,0.0,3092.0232,666.5932,814.13983,0.9750000238418579,3686.36328125,,,,
0.125,0.0,0.0,4126.87,543.5549,1956.85,0.9750000238418579,3787.175048828125,,,,
0.126,0.0,0.0,4472.914,306.603,2396.97,0.949999988079071,3810.110107421875,,,,
0.127,0.0,0.0,6045.134,556.5971,2790.7,0.949999988079071,3764.551513671875,,,,
0.128,0.0,0.0,4331.0586,429.19455,1813.59,0.949999988079071,3695.40966796875,,,,
0.129,0.0,0.0,4533.7915,315.67673,2178.59,0.949999988079071,3708.13427734375,,,,
0.13,0.0,0.0,3841.1692,598.0439,584.95013,0.949999988079071,3782.79296875,,,,
0.131,0.0,0.0,2763.105,578.58954,938.1401,0.949999988079071,3780.854736328125,,,,
0.132,0.0,0.0,2579.2031,389.58102,2008.55,0.949999988079071,3758.1171875,,,,
0.133,0.0,0.0,4648.911,193.54025,4859.75,0.949999988079071,3780.96337890625,,,,
0.134,0.0,0.0,7875.858,1105.522,2504.15,0.949999988079071,3769.181640625,,,,
0.135,0.0,0.0,5535.4253,495.1804,629.8598,0.949999988079071,3657.405517578125,,,,
0.136,0.0,0.0,2480.9192,667.86127,466.82004,0.949999988079071,3612.322265625,,,,
0.137,0.0,0.0,3708.9717,366.65378,1628.93,0.949999988079071,3617.78515625,,,,
0.138,0.0,0.0,6257.5337,14.424042,897.79,0.925000011920929,3590.733154296875,,,,
0.139,0.0,0.0,4182.8984,160.84665,359.21994,0.925000011920929,3497.28173828125,,,,
0.14,0.0,0.0,2297.2827,270.6904,2359.16,0.925000011920929,3457.296142578125,,,,
0.141,0.0,0.0,5403.697,-26.474152,2417.73,0.925000011920929,3499.18408203125,,,,
0.142,0.0,0.0,5187.554,281.1218,4958.52,0.925000011920929,3423.95703125,,,,
0.143,0.0,0.0,7844.6895,1330.3564,2457.51,0.925000011920929,3333.303955078125,,,,
0.134,1.0,1.0,5360.923,889.43304,310.37985,0.925000011920929,3228.177734375,,,,
0.135,0.0,0.0,2039.0051,353.82492,1351.2501,0.949999988079071,3168.163330078125,,,,
0.136,0.0,0.0,3361.0845,668.71405,1124.6901,0.949999988079071,3216.776611328125,,,,
0.137,0.0,0.0,5547.9434,229.19772,1337.0,0.949999988079071,3217.591064453125,,,,
0.138,0.0,0.0,3300.3684,282.69846,844.4799,0.949999988079071,3186.45068359375,,,,
0.139,0.0,0.0,2864.7004,243.18307,483.9299,0.949999988079071,3161.00048828125,,,,
0.14,0.0,0.0,1620.5189,298.4929,1294.1,0.949999988079071,3115.720703125,,,,
0.141,0.0,0.0,4459.984,186.25241,1204.27,0.949999988079071,3148.32470703125,,,,
0.142,0.0,0.0,3897.6692,307.82272,2077.32,0.949999988079071,3107.36181640625,,,,
0.143,0.0,0.0,4192.9614,164.8718,1077.4,0.949999988079071,3092.712158203125,,,,
0.144,0.0,0.0,3445.527,191.15158,1272.08,0.949999988079071,3051.87548828125,,,,
0.145,0.0,0.0,3244.4092,313.3076,1647.07,0.949999988079071,3015.61767578125,,,,
0.146,0.0,0.0,3138.9526,386.67502,2294.89,0.949999988079071,3003.553466796875,,,,
0.147,0.0,0.0,5095.312,411.45358,1563.04,0.949999988079071,3013.944580078125,,,,
0.148,0.0,0.0,4293.4863,446.77292,1928.29,0.949999988079071,2948.280517578125,,,,
0.149,0.0,0.0,3720.6985,589.76337,1481.48,0.949999988079071,2895.962890625,,,,
0.15,0.0,0.0,3301.4854,324.71408,1664.86,0.949999988079071,2873.846923828125,,,,
0.151,0.0,0.0,3626.9636,754.414,703.60004,0.949999988079071,2868.297607421875,,,,
0.152,0.0,0.0,2826.8782,363.24167,1763.67,0.949999988079071,2867.100341796875,,,,
0.153,0.0,0.0,3987.4836,430.6887,3990.8,0.949999988079071,2857.844482421875,,,,
0.154,0.0,0.0,7304.2964,846.394,4397.07,0.949999988079071,2820.028564453125,,,,
0.145,1.0,1.0,7144.5625,2643.8506,196.86008,0.949999988079071,2705.8349609375,,,,
0.146,0.0,0.0,2516.478,172.51364,1308.53,0.9750000238418579,2626.07958984375,,,,
0.147,0.0,0.0,3878.5063,1155.6375,1426.1001,0.9750000238418579,2614.206298828125,,,,
0.148,0.0,0.0,4908.127,497.27267,3795.81,0.9750000238418579,2600.52734375,,,,
0.149,0.0,0.0,8182.1123,977.664,824.41986,0.9750000238418579,2546.022705078125,,,,
0.15,0.0,0.0,3013.3462,-152.26419,1022.13995,0.9750000238418579,2398.867919921875,,,,
0.151,0.0,0.0,1720.119,445.113,884.2199,0.9750000238418579,2380.82080078125,,,,
0.152,0.0,0.0,3236.682,133.22311,387.73996,0.9750000238418579,2429.86572265625,,,,
0.153,0.0,0.0,3972.0068,-12.1138,850.91986,0.9750000238418579,2450.152587890625,,,,
0.154,0.0,0.0,2426.5671,127.296844,1090.9102,0.9750000238418579,2455.5712890625,,,,
0.155,0.0,0.0,3301.5776,64.65085,234.53,0.9750000238418579,2441.54931640625,,,,
0.156,0.0,0.0,2081.7034,50.141083,105.37009,0.949999988079071,2402.836669921875,,,,
0.147,1.0,1.0,2479.882,219.62717,104.03,0.925000011920929,2559.471435546875,,,,
0.148,0.0,0.0,2565.0107,59.969696,542.4799,0.949999988079071,2586.95361328125,,,,
0.149,0.0,0.0,2640.899,218.26706,882.9399,0.949999988079071,2626.15234375,,,,
0.15,0.0,0.0,3684.7954,-17.310577,578.83,0.949999988079071,2757.173095703125,,,,
0.151,0.0,0.0,2359.8223,-61.279816,380.34006,0.949999988079071,2762.20166015625,,,,
0.152,0.0,0.0,1507.2363,226.92941,824.16986,0.949999988079071,2752.09130859375,,,,
0.153,0.0,0.0,2562.118,252.83469,650.83,0.949999988079071,2765.638671875,,,,
0.154,0.0,0.0,2269.4607,198.55441,2074.02,0.949999988079071,2734.24072265625,,,,
0.155,0.0,0.0,4345.9907,716.27606,1049.59,0.949999988079071,2728.7265625,,,,
0.156,0.0,0.0,2936.9807,212.03513,3471.46,0.949999988079071,2715.66845703125,,,,
0.157,0.0,0.0,4592.762,519.62714,484.45993,0.949999988079071,2712.414306640625,,,,
0.158,0.0,0.0,2214.2927,214.6362,319.49997,0.949999988079071,2631.25146484375,,,,
