alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.11,0.0,0.0,6831.645,-51.45926,1664.86,
0.111,0.0,0.0,5429.302,209.00974,703.60004,
0.112,0.0,0.0,5467.702,61.37863,1763.67,
0.113,0.0,0.0,4551.202,262.0222,3990.8,
0.114,0.0,0.0,4952.134,463.3508,4397.07,
0.105,1.0,1.0,7809.2573,843.14056,196.86008,
0.106,0.0,0.0,5748.7705,401.09006,1308.53,
0.107,0.0,0.0,6543.822,-23.02713,1426.1001,
0.108,0.0,0.0,5820.2695,22.638397,3795.81,
0.109,0.0,0.0,6076.9883,230.79074,824.41986,
0.11,0.0,0.0,4910.585,135.2822,1022.13995,
0.111,0.0,0.0,5616.58,85.68039,884.2199,
0.112,0.0,0.0,4746.5767,169.74509,387.73996,
0.113,0.0,0.0,5521.182,95.813446,850.91986,
0.114,0.0,0.0,4207.578,-28.910187,1090.9102,
0.115,0.0,0.0,3285.5112,240.94968,234.53,
0.116,0.0,0.0,2749.4287,227.50876,105.37009,
0.117,0.0,0.0,5389.239,-87.408966,104.03,
0.118,0.0,0.0,3492.5972,-183.11331,542.4799,
0.119,0.0,0.0,3089.1238,-124.707794,882.9399,
0.12,0.0,0.0,2799.4612,-90.83426,578.83,
0.121,0.0,0.0,5203.99,-307.49686,380.34006,
0.122,0.0,0.0,3828.01,-267.9407,824.16986,
0.123,0.0,0.0,3541.3633,320.8364,650.83,
0.124,0.0,0.0,3321.096,-30.631378,2074.02,
0.125,0.0,0.0,3948.1138,95.23068,1049.59,
0.126,0.0,0.0,3655.3738,156.1633,3471.46,
0.127,0.0,0.0,5136.6836,225.04514,484.45993,
0.128,0.0,0.0,4601.8555,276.90866,319.49997,
0.129,0.0,0.0,4002.4004,86.66989,450.03,
0.13,0.0,0.0,3720.0764,-51.390656,845.7199,
0.131,0.0,0.0,3273.0088,150.16867,1105.76,
0.132,0.0,0.0,3905.6147,-263.12723,820.5998,
0.133,0.0,0.0,3122.718,82.42404,518.09,
0.134,0.0,0.0,3176.3215,-96.066925,855.13995,
0.135,0.0,0.0,3529.0984,157.50192,1053.8301,
0.136,0.0,0.0,3590.825,239.20016,973.64996,
0.137,0.0,0.0,3260.8838,285.31613,205.3801,
0.138,0.0,0.0,2343.3286,173.5195,412.8701,
0.139,0.0,0.0,3489.2744,1.6376646,610.35004,
0.14,0.0,0.0,3454.9802,-161.82645,899.8199,
0.141,0.0,0.0,3082.7332,35.590057,803.31,
0.142,0.0,0.0,2851.6018,-264.46194,1005.94,
0.143,0.0,0.0,2961.661,235.97482,466.84006,
0.144,0.0,0.0,3366.0388,32.680634,459.05002,
0.145,0.0,0.0,3387.204,61.512665,706.6899,
0.146,0.0,0.0,2395.8054,66.86423,1041.7999,
0.147,0.0,0.0,3051.6384,153.42722,1036.9,
0.148,0.0,0.0,2827.7507,20.266083,527.89984,
0.149,0.0,0.0,3404.0933,-205.8638,998.07,
0.15,0.0,0.0,3662.0386,162.99338,1493.54,
0.151,0.0,0.0,3785.801,108.924774,2299.9,
0.152,0.0,0.0,3847.7112,401.4548,2666.85,
0.153,0.0,0.0,5043.969,462.2441,855.9499,
0.154,0.0,0.0,3446.8723,213.56516,1676.2201,
0.145,1.0,1.0,3333.8032,28.399628,7982.6104,
0.136,1.0,1.0,7821.4204,1077.8922,906.31,
0.137,0.0,0.0,6763.7583,695.0263,2280.78,
0.138,0.0,0.0,6323.1807,413.68552,819.4399,
0.139,0.0,0.0,5141.357,458.5776,1232.26,
0.14,0.0,0.0,4236.5576,99.026825,412.31003,
0.141,0.0,0.0,3462.8132,224.07053,311.05002,
0.132,1.0,1.0,2897.5571,123.77463,75.6799,
0.133,0.0,0.0,3467.6294,-217.3721,678.15985,
0.134,0.0,0.0,2518.8357,-187.34354,1115.54,
0.135,0.0,0.0,2482.1,227.51242,2060.67,
0.136,0.0,0.0,3724.4788,299.2534,372.74997,
0.137,0.0,0.0,3142.9536,215.80905,488.45993,
0.128,1.0,1.0,3709.8713,120.55783,106.700165,
0.129,0.0,0.0,3549.2231,15.517059,518.37006,
0.13,0.0,0.0,2572.0833,94.309296,345.58005,
0.131,0.0,0.0,2525.1667,76.14719,168.37009,
0.122,1.0,1.0,2621.3208,45.36081,189.70993,
0.123,0.0,0.0,2311.367,-8.135773,402.1799,
0.124,0.0,0.0,2554.7004,-11.369171,1105.8,
0.125,0.0,0.0,1987.8008,82.232635,127.65988,
0.126,0.0,0.0,1900.2396,139.04489,405.29,
0.127,0.0,0.0,3100.8018,-45.35257,2745.1,
0.128,0.0,0.0,5012.596,289.52097,3048.63,
0.129,0.0,0.0,4469.393,17.443085,1032.87,
0.13,0.0,0.0,4834.7983,310.13107,496.9299,
0.131,0.0,0.0,3982.1038,52.75363,229.69992,
0.132,0.0,0.0,4625.3486,-14.260284,261.82004,
