setting,model,loss,time,picp,mpiw,mlpicp,mlmpiw,lpice_std,lpice
aci,gru,quantile,600.2561509609222,0.9166666666666666,5928.781368809375,0.8789017341040463,5962.724714984363,0.06176592022899122,0.3468208092485549
aci,gru,tube,130.5680229663849,0.921875,5758.337455809949,0.8757225433526011,5772.157530035804,0.05469304781934163,0.4797687861271676
aci,lstm,quantile,247.73490023612976,0.8854166666666666,7005.035555018229,0.8471098265895953,6993.222673501825,0.07593349691511145,0.653179190751445
aci,lstm,tube,144.56490325927734,0.9322916666666666,5823.282222986979,0.8950867052023119,5845.320957176908,0.033573317233449,0.2774566473988439
aci,tcn,quantile,385.2084946632385,0.9427083333333334,5564.786209165625,0.8971098265895956,5538.268521748951,0.03665965951612414,0.2947976878612717
aci,tcn,tube,214.9574875831604,0.9114583333333334,4535.193751272395,0.8716763005780348,4475.908506676696,0.05638431299080524,0.5780346820809249
