alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.159,0.0,0.0,4226.1973,145.12668,1481.48,
0.16,0.0,0.0,4188.237,66.83713,1664.86,
0.161,0.0,0.0,4304.579,412.33054,703.60004,
0.162,0.0,0.0,3391.7122,70.72409,1763.67,
0.153,1.0,1.0,3661.5793,141.56638,3990.8,
0.154,0.0,0.0,7556.2393,682.07416,4397.07,
0.145,1.0,1.0,6792.8286,1115.6606,196.86008,
0.146,0.0,0.0,2567.4287,336.94333,1308.53,
0.147,0.0,0.0,4116.548,109.89865,1426.1001,
0.148,0.0,0.0,5010.4897,251.82272,3795.81,
0.149,0.0,0.0,7127.3936,670.5273,824.41986,
0.15,0.0,0.0,3427.0933,60.168427,1022.13995,
0.151,0.0,0.0,2036.4414,149.06442,884.2199,
0.152,0.0,0.0,3697.2666,-163.90555,387.73996,
0.153,0.0,0.0,3569.3855,432.73972,850.91986,
0.154,0.0,0.0,3298.4307,-56.466095,1090.9102,
0.155,0.0,0.0,2727.0583,-70.362335,234.53,
0.156,0.0,0.0,2103.4084,284.6401,105.37009,
0.157,0.0,0.0,2617.8289,51.990448,104.03,
0.158,0.0,0.0,2752.841,-95.26419,542.4799,
0.159,0.0,0.0,2020.7445,-192.0286,882.9399,
0.16,0.0,0.0,3063.5188,-181.58255,578.83,
0.161,0.0,0.0,3951.2878,-440.80887,380.34006,
0.162,0.0,0.0,2455.888,-691.3592,824.16986,
0.163,0.0,0.0,2410.5337,495.75436,650.83,
0.164,0.0,0.0,2468.7896,-112.06131,2074.02,
0.165,0.0,0.0,3945.7632,-219.2305,1049.59,
0.166,0.0,0.0,2924.9282,-36.996857,3471.46,
0.157,1.0,1.0,5423.6567,585.19794,484.45993,
0.158,0.0,0.0,3240.1182,-155.97415,319.49997,
0.159,0.0,0.0,2003.1007,425.6279,450.03,
0.16,0.0,0.0,2855.3696,-498.7759,845.7199,
0.161,0.0,0.0,3017.448,155.59225,1105.76,
0.162,0.0,0.0,2928.3906,-59.50882,820.5998,
0.163,0.0,0.0,3391.4802,33.04782,518.09,
0.164,0.0,0.0,3489.009,-338.35574,855.13995,
0.165,0.0,0.0,3817.1504,-7.8664856,1053.8301,
0.166,0.0,0.0,3390.0857,90.775116,973.64996,
0.167,0.0,0.0,2695.1636,151.87546,205.3801,
0.168,0.0,0.0,2427.2976,-333.96805,412.8701,
0.169,0.0,0.0,2599.1963,-260.97073,610.35004,
0.17,0.0,0.0,2843.1445,-487.31375,899.8199,
0.171,0.0,0.0,2992.249,-259.2991,803.31,
0.172,0.0,0.0,1915.3423,0.5617369,1005.94,
0.173,0.0,0.0,2678.3303,-28.686066,466.84006,
0.174,0.0,0.0,2242.6782,-223.82278,459.05002,
0.175,0.0,0.0,2964.8076,-122.162384,706.6899,
0.176,0.0,0.0,2501.5225,20.094452,1041.7999,
0.177,0.0,0.0,2771.9429,-169.96439,1036.9,
0.178,0.0,0.0,2453.386,68.5173,527.89984,
0.179,0.0,0.0,2020.6877,40.615448,998.07,
0.18,0.0,0.0,2474.2822,-56.888702,1493.54,
0.181,0.0,0.0,3510.5713,261.49655,2299.9,
0.182,0.0,0.0,4043.3293,335.16013,2666.85,
0.183,0.0,0.0,4846.3203,785.9831,855.9499,
0.184,0.0,0.0,2175.9077,300.44968,1676.2201,
0.175,1.0,1.0,2454.338,449.70383,7982.6104,
