alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.097,0.0,0.0,7037.9497,189.90012,931.51984,0.9750000238418579,6170.34765625,,,,
0.098,0.0,0.0,7471.189,-430.79813,3880.2,0.9750000238418579,6162.92578125,,,,
0.099,0.0,0.0,8545.231,595.6894,844.9001,0.9750000238418579,6090.2255859375,,,,
0.1,0.0,0.0,7661.388,-188.79666,633.77997,0.9750000238418579,6003.71240234375,,,,
0.101,0.0,0.0,6029.5146,-7.915802,2120.33,0.9750000238418579,5876.16015625,,,,
0.102,0.0,0.0,6972.555,253.31857,1603.13,0.9750000238418579,5895.6435546875,,,,
0.103,0.0,0.0,6350.579,-442.58914,371.07004,0.9750000238418579,5865.80419921875,,,,
0.104,0.0,0.0,5944.536,53.077118,440.57004,0.9750000238418579,5834.29931640625,,,,
0.105,0.0,0.0,6746.93,33.16696,274.81003,0.9750000238418579,5820.6015625,,,,
0.106,0.0,0.0,5648.0815,280.77756,1072.4401,0.9750000238418579,5776.22900390625,,,,
0.107,0.0,0.0,6244.82,-698.3128,641.63983,0.9750000238418579,5778.99365234375,,,,
0.108,0.0,0.0,6116.1753,-320.2161,296.53,0.9750000238418579,5753.33837890625,,,,
0.109,0.0,0.0,6339.0723,-128.30838,1083.25,0.9750000238418579,5716.98095703125,,,,
0.11,0.0,0.0,6326.49,-345.44095,2815.18,0.9750000238418579,5670.6962890625,,,,
0.111,0.0,0.0,7141.049,362.03854,3579.73,0.9750000238418579,5650.2958984375,,,,
0.112,0.0,0.0,8531.514,522.68964,1999.9299,0.9750000238418579,5620.03173828125,,,,
0.113,0.0,0.0,6446.4775,175.61057,851.7399,0.9750000238418579,5510.0498046875,,,,
0.114,0.0,0.0,6108.6025,102.36789,814.13983,0.9750000238418579,5464.16650390625,,,,
0.115,0.0,0.0,6196.017,458.71188,1956.85,0.9750000238418579,5490.52783203125,,,,
0.116,0.0,0.0,7005.618,521.4318,2396.97,0.949999988079071,5495.4580078125,,,,
0.117,0.0,0.0,7642.594,553.601,2790.7,0.949999988079071,5400.01416015625,,,,
0.118,0.0,0.0,7003.661,570.6716,1813.59,0.949999988079071,5320.2666015625,,,,
0.119,0.0,0.0,6713.3286,667.94476,2178.59,0.949999988079071,5290.5595703125,,,,
0.12,0.0,0.0,5791.1157,368.99997,584.95013,0.949999988079071,5305.3759765625,,,,
0.121,0.0,0.0,4435.529,190.31613,938.1401,0.949999988079071,5251.990234375,,,,
0.122,0.0,0.0,5039.609,-102.943634,2008.55,0.949999988079071,5245.16748046875,,,,
0.123,0.0,0.0,5072.494,537.914,4859.75,0.949999988079071,5224.9365234375,,,,
0.124,0.0,0.0,8686.435,951.85187,2504.15,0.949999988079071,5219.2578125,,,,
0.125,0.0,0.0,7327.7197,321.8818,629.8598,0.949999988079071,5188.640625,,,,
0.126,0.0,0.0,4686.322,344.56467,466.82004,0.925000011920929,5131.33642578125,,,,
0.127,0.0,0.0,4333.1953,254.00974,1628.93,0.925000011920929,5129.96337890625,,,,
0.128,0.0,0.0,6751.319,390.54416,897.79,0.8999999761581421,5131.9755859375,,,,
0.129,0.0,0.0,5589.889,336.61765,359.21994,0.8999999761581421,5074.10009765625,,,,
0.13,0.0,0.0,5410.3237,51.077606,2359.16,0.8999999761581421,5027.35693359375,,,,
0.131,0.0,0.0,6541.977,378.75095,2417.73,0.8999999761581421,5005.60546875,,,,
0.132,0.0,0.0,6308.5586,387.31564,4958.52,0.8999999761581421,4977.4912109375,,,,
0.133,0.0,0.0,7790.254,625.23505,2457.51,0.8999999761581421,4920.8994140625,,,,
0.124,1.0,1.0,6543.4927,562.4074,310.37985,0.8999999761581421,4849.45947265625,,,,
0.125,0.0,0.0,4334.905,124.930145,1351.2501,0.925000011920929,4789.52734375,,,,
0.126,0.0,0.0,4872.587,423.10715,1124.6901,0.925000011920929,4825.54931640625,,,,
0.127,0.0,0.0,6750.626,199.44528,1337.0,0.925000011920929,4820.5009765625,,,,
0.128,0.0,0.0,5033.155,39.178436,844.4799,0.8999999761581421,4806.4140625,,,,
