alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.1,0.0,0.0,6708.9395,-13.560089,1664.86,
0.101,0.0,0.0,5445.404,132.64206,703.60004,
0.102,0.0,0.0,5521.7217,306.77707,1763.67,
0.103,0.0,0.0,4729.318,119.443085,3990.8,
0.104,0.0,0.0,5374.859,308.03806,4397.07,
0.095,1.0,1.0,7980.028,881.45624,196.86008,
0.096,0.0,0.0,5610.281,356.41354,1308.53,
0.097,0.0,0.0,6565.984,-24.220734,1426.1001,
0.098,0.0,0.0,6912.731,-10.559845,3795.81,
0.099,0.0,0.0,6576.3325,-53.84671,824.41986,
0.1,0.0,0.0,4530.5337,310.29416,1022.13995,
0.101,0.0,0.0,6087.935,49.937714,884.2199,
0.102,0.0,0.0,4903.788,51.936493,387.73996,
0.103,0.0,0.0,4912.7065,30.491425,850.91986,
0.104,0.0,0.0,4717.1943,141.72678,1090.9102,
0.095,1.0,1.0,3834.4548,161.7922,234.53,
0.096,0.0,0.0,2711.6484,69.01584,105.37009,
0.097,0.0,0.0,6064.035,-70.926056,104.03,
0.098,0.0,0.0,4813.6626,-133.9031,542.4799,
0.099,0.0,0.0,3541.7773,45.638153,882.9399,
0.1,0.0,0.0,3694.0168,-48.60379,578.83,
0.101,0.0,0.0,6296.0996,-75.20853,380.34006,
0.102,0.0,0.0,3392.6165,-198.81741,824.16986,
0.103,0.0,0.0,4254.1646,40.332,650.83,
0.104,0.0,0.0,3942.5696,54.45285,2074.02,
0.105,0.0,0.0,4493.385,96.625946,1049.59,
0.106,0.0,0.0,4031.0044,-186.86722,3471.46,
0.107,0.0,0.0,6542.2383,11.779266,484.45993,
0.108,0.0,0.0,4317.9404,399.47263,319.49997,
0.109,0.0,0.0,4031.302,58.774628,450.03,
0.11,0.0,0.0,3992.8176,86.44968,845.7199,
0.111,0.0,0.0,3310.0823,182.01608,1105.76,
0.112,0.0,0.0,5218.3545,-144.01297,820.5998,
0.113,0.0,0.0,3767.9429,97.71994,518.09,
0.114,0.0,0.0,3605.5325,128.19553,855.13995,
0.115,0.0,0.0,3315.5764,76.30124,1053.8301,
0.116,0.0,0.0,4081.485,173.66672,973.64996,
0.117,0.0,0.0,3265.202,228.86496,205.3801,
0.118,0.0,0.0,2676.2856,186.28195,412.8701,
0.119,0.0,0.0,3540.0232,102.52609,610.35004,
0.12,0.0,0.0,3722.997,-76.08841,899.8199,
0.121,0.0,0.0,2620.0796,-14.391388,803.31,
0.122,0.0,0.0,2719.155,-233.22855,1005.94,
0.123,0.0,0.0,3032.4531,101.646454,466.84006,
0.124,0.0,0.0,3573.8284,-151.45145,459.05002,
0.125,0.0,0.0,3531.8145,-318.17874,706.6899,
0.126,0.0,0.0,2671.238,88.0759,1041.7999,
0.127,0.0,0.0,2606.3828,156.19968,1036.9,
0.128,0.0,0.0,3063.0532,28.850555,527.89984,
0.129,0.0,0.0,2807.3452,-318.4744,998.07,
0.13,0.0,0.0,3113.4478,144.9426,1493.54,
0.131,0.0,0.0,3971.5032,146.03683,2299.9,
0.132,0.0,0.0,3442.5747,62.02414,2666.85,
0.133,0.0,0.0,5343.1567,387.62473,855.9499,
0.134,0.0,0.0,3089.4595,206.09738,1676.2201,
0.125,1.0,1.0,3916.6406,-78.138214,7982.6104,
0.116,1.0,1.0,8019.41,802.3642,906.31,
0.117,0.0,0.0,6110.2686,669.66205,2280.78,
0.118,0.0,0.0,7236.0845,538.98114,819.4399,
0.119,0.0,0.0,5715.25,329.86227,1232.26,
0.12,0.0,0.0,5505.2734,260.94724,412.31003,
0.121,0.0,0.0,3574.0608,176.23923,311.05002,
0.112,1.0,1.0,3530.2595,27.845428,75.6799,
0.113,0.0,0.0,3491.0476,-305.67117,678.15985,
0.114,0.0,0.0,2712.7927,114.190155,1115.54,
0.115,0.0,0.0,2631.3132,237.86154,2060.67,
0.116,0.0,0.0,3068.6511,158.97678,372.74997,
0.117,0.0,0.0,3104.3691,65.22507,488.45993,
0.108,1.0,1.0,4675.74,154.22385,106.700165,
0.109,0.0,0.0,3971.2246,-139.21732,518.37006,
0.11,0.0,0.0,2961.4392,-192.41214,345.58005,
0.111,0.0,0.0,3229.8613,-338.06277,168.37009,
0.112,0.0,0.0,2677.2637,-176.93704,189.70993,
0.113,0.0,0.0,2496.8938,-8.07962,402.1799,
0.114,0.0,0.0,2344.3584,-41.048126,1105.8,
0.115,0.0,0.0,2214.8245,35.91452,127.65988,
0.116,0.0,0.0,2207.5957,-13.13797,405.29,
0.117,0.0,0.0,2448.4656,-14.887482,2745.1,
0.118,0.0,0.0,3608.086,45.463593,3048.63,
0.119,0.0,0.0,4992.9653,-112.44681,1032.87,
0.12,0.0,0.0,3794.6555,304.19235,496.9299,
0.111,1.0,1.0,4159.1196,70.235565,229.69992,
0.112,0.0,0.0,4848.6226,-44.71219,261.82004,
