alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.111,0.0,0.0,6194.9688,479.09836,703.60004,
0.112,0.0,0.0,4153.4863,286.81393,1763.67,
0.113,0.0,0.0,5073.6553,372.7595,3990.8,
0.114,0.0,0.0,8640.3125,530.8632,4397.07,
0.105,1.0,1.0,8003.832,1105.8347,196.86008,
0.106,0.0,0.0,4252.239,368.8442,1308.53,
0.107,0.0,0.0,6304.3184,344.9482,1426.1001,
0.108,0.0,0.0,7453.5674,496.55807,3795.81,
0.109,0.0,0.0,7868.009,326.62692,824.41986,
0.11,0.0,0.0,4177.4766,443.62082,1022.13995,
0.111,0.0,0.0,5051.794,446.27756,884.2199,
0.112,0.0,0.0,5363.86,301.63156,387.73996,
0.113,0.0,0.0,5099.147,335.69235,850.91986,
0.114,0.0,0.0,4090.3833,191.6511,1090.9102,
0.115,0.0,0.0,3402.446,-5.327423,234.53,
0.106,1.0,1.0,2065.9688,170.2153,105.37009,
0.097,1.0,1.0,6354.4775,204.02585,104.03,
0.098,0.0,0.0,4613.4653,-38.37552,542.4799,
0.099,0.0,0.0,3049.0225,130.75778,882.9399,
0.1,0.0,0.0,3431.4072,247.94211,578.83,
0.101,0.0,0.0,7057.6763,92.911835,380.34006,
0.102,0.0,0.0,3580.7666,81.61496,824.16986,
0.103,0.0,0.0,4989.8755,92.754364,650.83,
0.104,0.0,0.0,5573.9126,128.39548,2074.02,
0.105,0.0,0.0,6152.723,306.1716,1049.59,
0.106,0.0,0.0,4675.5356,211.7839,3471.46,
0.097,1.0,1.0,8629.763,445.3115,484.45993,
0.098,0.0,0.0,3759.9958,304.69186,319.49997,
0.099,0.0,0.0,2975.9138,257.176,450.03,
0.1,0.0,0.0,4246.3047,195.73752,845.7199,
0.101,0.0,0.0,5449.1772,166.05417,1105.76,
0.102,0.0,0.0,6508.856,41.42453,820.5998,
0.103,0.0,0.0,3683.298,249.98898,518.09,
0.104,0.0,0.0,4353.5874,332.73752,855.13995,
0.105,0.0,0.0,3736.4119,111.54538,1053.8301,
0.106,0.0,0.0,4236.411,264.30832,973.64996,
0.107,0.0,0.0,3198.2246,412.9736,205.3801,
0.108,0.0,0.0,3849.1133,59.036102,412.8701,
0.109,0.0,0.0,3622.9673,191.676,610.35004,
0.11,0.0,0.0,6234.292,146.88742,899.8199,
0.111,0.0,0.0,3002.0505,-37.977814,803.31,
0.112,0.0,0.0,3221.6926,168.4548,1005.94,
0.113,0.0,0.0,3285.8147,279.09592,466.84006,
0.114,0.0,0.0,5578.04,261.9338,459.05002,
0.115,0.0,0.0,3400.2544,213.30368,706.6899,
0.116,0.0,0.0,3256.6008,225.8215,1041.7999,
0.117,0.0,0.0,3647.8835,139.34787,1036.9,
0.118,0.0,0.0,3158.08,113.78732,527.89984,
0.119,0.0,0.0,2814.1113,205.33151,998.07,
0.12,0.0,0.0,2935.211,213.91208,1493.54,
0.121,0.0,0.0,5136.463,305.66306,2299.9,
0.122,0.0,0.0,4559.8057,327.4448,2666.85,
0.123,0.0,0.0,5560.959,424.88303,855.9499,
0.124,0.0,0.0,3015.5562,147.63205,1676.2201,
0.115,1.0,1.0,4211.8535,342.68015,7982.6104,
0.106,1.0,1.0,11065.709,903.8321,906.31,
0.107,0.0,0.0,5401.1997,668.3869,2280.78,
0.108,0.0,0.0,6707.104,606.0173,819.4399,
0.109,0.0,0.0,6203.2607,573.92255,1232.26,
0.11,0.0,0.0,6594.4766,377.1799,412.31003,
0.111,0.0,0.0,3415.4636,319.34787,311.05002,
0.102,1.0,1.0,3874.4646,184.57785,75.6799,
0.103,0.0,0.0,4767.018,46.645477,678.15985,
0.104,0.0,0.0,4458.8945,356.24924,1115.54,
0.105,0.0,0.0,3615.5872,206.6323,2060.67,
0.106,0.0,0.0,3570.105,169.32468,372.74997,
0.107,0.0,0.0,2889.4954,166.61227,488.45993,
0.108,0.0,0.0,4214.353,254.37985,106.700165,
0.109,0.0,0.0,4272.6685,242.85568,518.37006,
0.11,0.0,0.0,3442.9521,86.76706,345.58005,
0.111,0.0,0.0,2675.4429,76.74362,168.37009,
0.102,1.0,1.0,2730.2966,280.05905,189.70993,
0.103,0.0,0.0,4521.72,-5.403351,402.1799,
0.104,0.0,0.0,2333.9614,189.72653,1105.8,
0.105,0.0,0.0,2392.7876,54.56784,127.65988,
0.106,0.0,0.0,1665.0596,31.57077,405.29,
0.097,1.0,1.0,2724.264,-696.83136,2745.1,
0.098,0.0,0.0,5712.454,358.10226,3048.63,
0.099,0.0,0.0,8029.0425,127.80661,1032.87,
0.1,0.0,0.0,3300.5605,318.6467,496.9299,
0.091,1.0,1.0,4109.7197,332.37595,229.69992,
0.092,0.0,0.0,5039.5366,-60.702667,261.82004,
