y_u_preds_inv,y_l_preds_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
8337.094,317.61618,0.8500000238418579,3828.201171875,0.0022033898305084745,2.2916553020477295,0.8607594936708861,3805.348876953125
7244.91,525.37177,0.8500000238418579,3602.647216796875,,,,
1927.5608,633.8212,0.8999999761581421,3561.541015625,,,,
3189.4292,1009.7592,0.8500000238418579,3652.083251953125,,,,
6604.158,338.15524,0.8500000238418579,3905.32373046875,,,,
8756.877,1207.4619,0.8500000238418579,3717.653564453125,,,,
2423.5938,-39.029816,0.8999999761581421,3395.622314453125,,,,
2416.729,336.17355,0.8999999761581421,3429.95703125,,,,
4173.351,393.57907,0.8999999761581421,3517.11181640625,,,,
2295.3438,-108.04227,0.949999988079071,3543.08251953125,,,,
3846.745,151.46994,0.949999988079071,3587.076904296875,,,,
4371.586,91.782196,0.949999988079071,3538.60107421875,,,,
2406.2583,69.68332,0.949999988079071,3508.76025390625,,,,
2541.5034,53.2341,0.949999988079071,3597.470703125,,,,
2959.266,127.21481,0.949999988079071,3654.45556640625,,,,
3994.4702,154.20407,0.949999988079071,3623.63232421875,,,,
4430.6553,91.2507,0.949999988079071,3575.27783203125,,,,
3279.4507,57.93161,0.949999988079071,3540.20361328125,,,,
2873.6199,57.416718,0.949999988079071,3586.39697265625,,,,
4065.0515,104.575165,0.949999988079071,3623.468017578125,,,,
3554.42,46.01828,0.949999988079071,3615.33544921875,,,,
6102.2476,204.8403,0.949999988079071,3574.36083984375,,,,
3140.5771,35.992645,0.949999988079071,3423.532470703125,,,,
7612.4927,368.01144,1.0,3452.68505859375,,,,
2553.3179,40.72165,1.0,3304.39794921875,,,,
1492.3226,383.5361,1.0,3370.81201171875,,,,
3498.2327,348.90475,1.0,3447.520751953125,,,,
3802.326,-21.324738,1.0,3482.123046875,,,,
4403.7363,104.56027,1.0,3532.40966796875,,,,
3369.659,86.3757,1.0,3595.211669921875,,,,
2801.5767,75.81564,1.0,3716.810546875,,,,
3811.71,128.72897,1.0,3685.73876953125,,,,
4214.438,103.65524,0.949999988079071,3678.969970703125,,,,
3723.9446,95.97507,0.8999999761581421,4072.446044921875,,,,
2273.6814,58.09372,0.8999999761581421,4017.151123046875,,,,
3028.605,155.43332,0.8999999761581421,4078.85107421875,,,,
3775.861,137.93576,0.8999999761581421,4310.7333984375,,,,
4256.5044,111.117645,0.8999999761581421,4388.3955078125,,,,
3621.8328,64.21945,0.8999999761581421,4309.09033203125,,,,
3900.757,102.92331,0.8500000238418579,4236.14111328125,,,,
2748.301,59.392303,0.8500000238418579,4174.48681640625,,,,
2987.4526,106.612274,0.8500000238418579,4233.26416015625,,,,
3799.5203,111.884735,0.8500000238418579,4323.53564453125,,,,
4393.468,114.72873,0.8500000238418579,4426.5380859375,,,,
3927.939,87.06076,0.8500000238418579,4309.56005859375,,,,
2727.5388,84.57834,0.800000011920929,4234.34326171875,,,,
3965.6047,124.22653,0.800000011920929,4222.2998046875,,,,
4955.565,126.17868,0.800000011920929,4194.00537109375,,,,
5727.7354,172.52463,0.800000011920929,4119.39501953125,,,,
5686.802,-28.452911,0.800000011920929,3987.823486328125,,,,
2395.0762,290.74655,0.800000011920929,3859.051513671875,,,,
3857.9116,310.31027,0.800000011920929,3935.30322265625,,,,
12913.282,932.9659,0.800000011920929,3997.716064453125,,,,
2894.037,371.96628,0.8500000238418579,3517.268798828125,,,,
3819.9954,370.4194,0.8500000238418579,3544.30078125,,,,
8722.512,1211.697,0.8500000238418579,3751.46044921875,,,,
5338.2227,147.04099,0.8500000238418579,3696.079345703125,,,,
2647.846,88.562225,0.8500000238418579,3536.133544921875,,,,
2222.1113,123.48703,0.800000011920929,3522.95068359375,,,,
2657.9128,93.16989,,,,,,
4053.4866,189.0278,,,,,,
4780.785,94.51877,,,,,,
5825.075,77.38864,,,,,,
1951.2173,12.040253,,,,,,
2504.2515,167.70578,,,,,,
2550.7578,148.68234,,,,,,
3378.1306,102.62912,,,,,,
3365.3164,28.133759,,,,,,
2972.9841,49.21408,,,,,,
3194.3992,54.581757,,,,,,
3707.0498,77.683075,,,,,,
4926.4175,130.5676,,,,,,
2403.552,32.16989,,,,,,
3168.19,105.47702,,,,,,
7792.428,199.65427,,,,,,
6455.7695,52.58493,,,,,,
2121.2212,128.95163,,,,,,
2625.8452,330.2197,,,,,,
2804.4243,337.98996,,,,,,
