model,loss,picp,mpiw,standard_dev,time
ann,quantile,0.7341772151898734,3953.4228515625,0.0258050847457627,10.967201232910156
ann,tube,0.8607594936708861,3805.348876953125,0.0022033898305084,1.6852800846099854
lstm,quantile,0.810126582278481,5735.1884765625,0.0095762711864406,2.755080461502075
lstm,tube,0.9240506329113924,3772.7900390625,0.0067796610169491,1.6562001705169678
tcn,quantile,0.9620253164556962,5619.6845703125,0.0,5.203335762023926
tcn,tube,0.8987341772151899,4219.2646484375,0.0041101694915254,2.6727120876312256
